[表情] [表情],unknown
[表情] [表情] [表情] [表情],unknown
[表情] 不 知 道 的 可 以 不 写 吗,complicated
[表情] 付 完 了 一 个,inform_paid
[表情] 还 要 分 开 啊,complicated
[表情] 好,affirm
[表情] 可 能 会 交 不 上 是 吧,complicated
[表情] 那 活 不 到 60 呢,complicated
[表情] 怎 么 退,query_refund
[图片] 单 月 是 这 个 吗,complicated
0 么,doublecheck
1 5 月 有,affirm
1 年 之 内 这 个 业 务 是 暂 停 的 是 吧,complicated
10 月 份 开 始 给 我 缴 纳,complicated
10 月 公 司 可 以 交 的,complicated
10 月 开 始,complicated
1000 可 以 贷 50 万 吗,complicated
103 分,unknown
11 月 10 号 之 前 能 查 询 到 吗,query_when_check_shebao_status
120 元 是 怎 么 回 事,complicated
12027 486 80 3 30 2 20 53861,no_intent
120656 包 括 哪 些 费 用,complicated
120656 是 每 月 费 用 吗,complicated
15 号 之 前 下 单 都 可 以 交 是 吧,complicated
163 是 什 么,confused
1856 啊,no_intent
18621321922 手 机,no_intent
19377 那 个 直 接 付 款 吗,doublecheck
2 3 4 这 几 个 月 的 比 例 能 不 能 给 我 下,complicated
2 3 的 基 数 是 多 少 4 月 的 是 多 少,complicated
2 月 份 的,no_intent
2000 多 吧,complicated
30 2 是 啥,confused
3290 这 个 貌 似 是,affirm
3500 的,complicated
3500 觉,complicated
39735 那 个 是 什 么 呀,complicated
4 5 月 的 240 的 预 调 基 的 钱 什 么 时 候 才 可 以 退,query_refund
4 月,no_intent
4 月 的 不 是 你 们 帮 我 缴 纳 的 嘛,complicated
4 月 的 公 司 会 帮 忙 缴 纳 五 月 份 的 找 你 们 代 缴 的,purchase
4 月 的 社 保 交 了 吗,purchase
4 月 份 的,no_intent
4 月 份 的 社 保 和 公 积 金 已 经 缴 纳 了 吧,ask_shebao_status
4 月 份 的 要 开 始 买,purchase
4 月 份 还 能 缴 么,check_can_pay_current_month
4 月 份 邮 箱 有 通 知,complicated
4 月 几 号,no_intent
4 月 离 职 了,complicated
40 的 拍 5 份 是 吧,complicated
40 为 啥 三 个,clarify
5 0 0 0 基 数 能 贷 到 上 限 吗,no_intent
5 月,complicated
5 月 的 公 司 已 经 给 我 交 了,inform_payment_history
5 月 的 什 么 时 候 能 查 到,query_when_check_shebao_status
5 月 的 我 拍 下,no_intent
